id,name,age,height_meter,weight_kg,children,occupation,academic_degree,salary,location
0,Darlena Avila,58,1.87,53,1,Choreographer,PhD,68,South Dakota
1,Yan Boyd,65,1.8,40,0,Cellarman,Bachelor,73,Delaware
2,Joette Lane,32,1.8,73,1,Veterinary Surgeon,Master,69,South Dakota
3,Jazmine Hunt,61,1.79,89,0,Hawker,PhD,88,Louisiana
4,Remedios Gomez,23,1.64,51,2,Choreographer,Bachelor,83,West Virginia
5,Myung Brewer,20,1.68,60,4,Window Dresser,Bachelor,65,South Dakota
6,Shaun Lynch,31,1.56,62,0,Weaver,Master,72,Louisiana
7,Melodi Mcdowell,56,1.6,42,0,Lighthouse Keeper,Master,65,Louisiana
8,Charlesetta Stevenson,30,1.62,44,3,Millwright,Master,87,Louisiana
9,Merri Charles,44,1.69,51,5,Medical Supplier,PhD,72,West Virginia
10,Cassi Meyers,55,1.82,72,5,Manicurist,Bachelor,73,South Dakota
11,Shawnee Harmon,66,1.63,78,5,Medical Physicist,PhD,90,Delaware
12,Lyndia Spears,62,1.88,41,1,Assistant,Master,78,Alaska
13,Page Evans,35,1.53,74,5,Paramedic,Bachelor,69,Delaware
14,Telma Hebert,66,1.94,79,3,Genealogist,Master,75,South Dakota
15,Edelmira Drake,23,1.87,72,2,Servant,PhD,77,South Dakota
16,Oscar Guthrie,40,1.61,46,4,Technical Liaison,Bachelor,76,Louisiana
17,Bernardina Strong,34,1.55,78,1,Scientist,PhD,90,South Dakota
18,Caprice Hart,64,1.69,67,4,Market Research,PhD,79,Louisiana
19,Alleen Pace,25,1.86,81,4,Medical Supplier,PhD,77,South Dakota
20,Margart Buckner,53,1.65,48,3,Actor,PhD,74,Louisiana
21,Kemberly Yates,41,1.75,49,4,Claims Adjustor,PhD,83,Delaware
22,Leeanne Soto,63,1.82,76,1,Groom,Master,67,South Dakota
23,Evan Macdonald,60,1.98,71,0,Payroll Assistant,Master,72,Alaska
24,Angeles Buckner,23,1.96,89,2,Machine Operator,Bachelor,72,South Dakota
25,Julieann Thornton,42,1.78,43,0,Tea Blender,Bachelor,73,West Virginia
26,Veronique Rodgers,58,1.56,80,3,Warden,Bachelor,76,Delaware
27,Kenyetta Logan,41,1.94,65,1,Undertaker,PhD,76,Delaware
28,Hyun Pollard,60,1.66,80,5,Psychiatrist,Master,73,South Dakota
29,Tran Hurst,56,1.56,52,0,Planning Technician,Bachelor,85,Delaware
30,Zenobia Delgado,52,1.79,38,0,Booking Clerk,Bachelor,88,Delaware
31,Carmelina Velez,28,1.52,59,0,Track Worker,Bachelor,79,West Virginia
32,Laine Odom,35,1.74,72,1,Sub-Postmaster,Bachelor,85,Louisiana
33,Shonna Schwartz,32,1.7,44,0,Shelf Filler,Master,86,Alaska
34,Renda Hicks,67,1.73,84,0,Chemist,Bachelor,89,South Dakota
35,Pandora Quinn,32,1.67,44,1,Injection Moulder,Bachelor,66,Alaska
36,Vivien Hunt,43,1.57,49,2,Stenographer,Bachelor,73,South Dakota
37,Celestina Hudson,31,1.9,73,0,Betting Shop,PhD,83,Alaska
38,Willena Snow,31,1.51,43,1,Hire Car Driver,Master,85,West Virginia
39,Sunday Kelly,43,1.61,63,0,Heating Engineer,Master,85,West Virginia
40,Afton Hayden,27,1.63,88,3,Motor Mechanic,Master,73,Delaware
41,Susy Castro,33,1.59,51,0,Vehicle Assessor,Bachelor,88,Louisiana
42,Lonna Bell,52,1.53,68,4,Tree Surgeon,Bachelor,73,Louisiana
43,Britta Wolfe,45,1.75,49,0,Building Surveyor,PhD,83,West Virginia
44,Joline Hernandez,41,1.56,74,1,Auto Electrician,PhD,72,Delaware
45,Cher Hogan,50,1.83,74,4,Park Ranger,Master,80,South Dakota
46,Iraida Odom,66,1.86,53,2,Relocation Agent,Bachelor,66,South Dakota
47,Leisha Jacobs,27,1.66,86,0,Advertising Contractor,Master,85,Delaware
48,Corrinne Blair,61,1.77,70,2,Furnace Man,Master,78,Louisiana
49,Caroll Tillman,22,1.62,56,1,Shooting Instructor,PhD,77,West Virginia
50,Leonie Miles,56,1.99,89,5,Travel Representative,Bachelor,79,Louisiana
51,Zofia Franco,34,1.97,44,1,Medical Physicist,Bachelor,82,South Dakota
52,Dani Reyes,61,1.78,55,2,Labourer,PhD,88,South Dakota
53,Margy Craig,61,1.84,54,4,Technical Analyst,Master,82,Alaska
54,Billye Bradshaw,67,1.82,55,0,Actress,Master,85,Alaska
55,Donetta Mueller,25,1.99,48,5,Show Jumper,PhD,74,West Virginia
56,Robbi Mayer,28,1.5,42,5,Granite Technician,PhD,79,South Dakota
57,Ashlyn Smith,64,1.68,73,1,Share Dealer,Bachelor,88,Alaska
58,Bao Fry,50,1.68,88,0,Prison Officer,Bachelor,89,Delaware
59,Karleen O'neil,50,1.55,87,4,Riding Instructor,PhD,68,Alaska
60,Enda Waters,58,1.96,48,1,Rug Maker,Bachelor,81,Louisiana
61,Georgeanna Raymond,30,1.96,88,3,Marine Electrician,Master,69,Alaska
62,Eufemia Ryan,66,1.85,62,0,Stud Hand,Bachelor,70,Louisiana
63,Huong Shaw,67,1.96,60,2,Lighthouse Keeper,Bachelor,81,South Dakota
64,Annamae Norris,56,1.6,59,2,Bus Conductor,Master,75,West Virginia
65,Marvis Murphy,19,1.75,81,4,Piano Tuner,Bachelor,68,Alaska
66,Deeanna Thompson,37,1.99,49,4,Medical Researcher,Bachelor,72,South Dakota
67,Dann Mcpherson,33,1.72,84,2,Shipwright,PhD,83,South Dakota
68,Tobi Burke,23,1.69,74,1,Marketing Manager,Bachelor,88,West Virginia
69,Rubi Acevedo,22,1.76,89,4,Insurance Inspector,Master,89,Louisiana
70,Rosamond Bishop,67,1.97,59,4,Pallet Maker,PhD,69,Delaware
71,Detra Powers,60,1.95,70,2,Road Safety Officer,Master,80,Louisiana
72,Pamula Pearson,28,1.65,46,1,School Crossing,PhD,73,Louisiana
73,Myrl Osborne,56,1.87,49,4,Opera Singer,Master,78,Delaware
74,Yi Small,52,1.5,56,1,Share Dealer,PhD,89,Delaware
75,Ludivina Jimenez,63,1.72,81,1,Tour Agent,Master,74,West Virginia
76,Florrie Norman,60,1.54,70,5,Pipe Inspector,Bachelor,85,Alaska
77,Jolie Olson,46,1.66,89,1,Golf Club Professional,Bachelor,81,West Virginia
78,Berenice Downs,25,1.99,77,0,Sportsperson,Master,72,Delaware
79,Henry Potts,22,1.85,69,3,Maintenance Fitter,Bachelor,75,South Dakota
80,Albert Valencia,55,1.88,87,0,Seaman,Bachelor,82,Delaware
81,Gaylene Schneider,55,1.98,71,3,Beauty Therapist,PhD,72,South Dakota
82,Karisa Walter,22,1.92,67,1,Stock Manager,PhD,87,South Dakota
83,Verlie Maxwell,32,1.8,86,3,Theatre Technician,Master,67,South Dakota
84,Yi Hughes,39,1.95,85,3,Song Writer,Master,67,Louisiana
85,Kandra Sosa,33,1.82,87,4,Taxi Controller,PhD,73,West Virginia
86,Joye Ferguson,31,1.72,83,2,Lock Keeper,Master,82,Delaware
87,Manie Garner,64,1.95,43,1,Grave Digger,Bachelor,83,Louisiana
88,Naoma Patton,48,1.58,51,0,Sales Assistant,Master,72,West Virginia
89,Maia Madden,44,1.73,41,1,Scaffolder,Master,71,South Dakota
90,Angelic Stokes,24,1.94,74,3,Systems Manager,Bachelor,86,West Virginia
91,Marya Francis,40,1.88,64,4,Video Artist,PhD,78,West Virginia
92,Jeanelle Kim,47,1.61,65,3,Art Restorer,Master,88,South Dakota
93,Many Ochoa,61,1.84,63,5,Herbalist,Master,85,South Dakota
94,Dion Mooney,21,1.77,63,4,Zoologist,PhD,77,Alaska
95,Apolonia Booth,24,1.82,46,3,Housekeeper,Bachelor,72,Delaware
96,Keena Harmon,30,1.66,67,2,Planning Officer,Master,82,West Virginia
97,Laila Riggs,26,1.98,64,2,Car Valet,Master,78,Delaware
98,Angeles Richardson,35,1.77,60,1,Bursar,PhD,79,Delaware
99,Ayanna Rios,22,1.52,53,1,Analyst,PhD,79,Louisiana
100,Emeline Dominguez,24,1.56,80,0,Zoologist,Bachelor,66,Louisiana
101,Shemeka Pennington,18,1.63,61,1,Doctor,Bachelor,67,Delaware
102,Livia Bryant,28,1.79,57,4,Public House Manager,Master,78,West Virginia
103,Holley Blanchard,48,1.8,78,1,Chiropractor,PhD,71,West Virginia
104,Leon Steele,21,1.84,89,0,Baggage Handler,Master,70,West Virginia
105,Versie Hood,18,1.83,42,4,Plant Operator,Bachelor,77,Alaska
106,Reena Shields,47,1.75,65,2,Station Manager,PhD,74,West Virginia
107,Emerald Horton,62,1.59,71,5,Metal Dealer,PhD,88,Louisiana
108,Wanetta Rosales,60,1.74,65,5,Merchant,Master,87,West Virginia
109,Kallie Skinner,27,1.97,55,3,Maintenance Fitter,Master,71,Alaska
